"STATE","FIPS","rookedges","queenedges","difference","ratio"
"AL",1,5659,5969,310,0.948065
"AK",2,1151,1234,83,0.932739
"AZ",4,6070,7032,962,0.863197
"AR",5,7589,8063,474,0.941213
"CA",6,45966,52622,6656,0.873513
"CO",8,9105,10218,1113,0.891075
"CT",9,2209,2332,123,0.947256
"DE",10,1134,1302,168,0.870968
"DC",11,372,414,42,0.898551
"FL",12,25166,28301,3135,0.889227
"GA",13,8469,9102,633,0.930455
"HI",15,962,1025,63,0.938537
"ID",16,2554,2737,183,0.933138
"IL",17,32018,36962,4944,0.866241
"IN",18,14859,16726,1867,0.888377
"IA",19,5910,8232,2322,0.71793
"KS",20,9461,11256,1795,0.840529
"LA",22,10231,11242,1011,0.910069
"ME",23,813,843,30,0.964413
"MD",24,5146,5647,501,0.91128
"MA",25,6188,6551,363,0.944589
"MI",26,13804,16748,2944,0.824218
"MN",27,9977,12628,2651,0.79007
"MS",28,5596,5878,282,0.952024
"MO",29,13318,14696,1378,0.906233
"NE",31,4468,4989,521,0.89557
"NV",32,5446,6406,960,0.85014
"NH",33,879,925,46,0.95027
"NJ",34,17743,19807,2064,0.895794
"NM",35,4020,4466,446,0.900134
"NY",36,41046,47490,6444,0.864308
"NC",37,7593,8148,555,0.931885
"ND",38,1368,1469,101,0.931246
"OH",39,31226,34685,3459,0.900274
"OK",40,5872,6675,803,0.8797
"PA",42,25745,27849,2104,0.92445
"SC",45,6000,6407,407,0.936476
"SD",46,2359,2603,244,0.906262
"TN",47,6218,6586,368,0.944124
"TX",48,23201,25790,2589,0.899612
"UT",49,6329,6992,663,0.905177
"VT",50,729,809,80,0.901112
"VA",51,6625,7102,477,0.932836
"WA",53,19580,21652,2072,0.904304
"WV",54,5105,5328,223,0.958146
"WI",55,17319,19681,2362,0.879986
"WY",56,1367,1430,63,0.955944
